18,"Plagioclase",516
19,"Spodumain",517
20,"Kernite",523
21,"Hedbergite",527
22,"Arkonor",512
34,"Tritanium",18
35,"Pyerite",18
36,"Mexallon",18
37,"Isogen",18
38,"Nocxium",18
39,"Zydrine",18
40,"Megacyte",18
41,"Garbage",20
42,"Spiced Wine",492
43,"Antibiotics",492
44,"Enriched Uranium",1335
45,"Frozen Plant Seeds",492
178,"Carbonized Lead S",113
179,"Nuclear S",113
180,"Proton S",113
181,"Depleted Uranium S",113
182,"Titanium Sabot S",113
183,"Fusion S",113
184,"Phased Plasma S",113
185,"EMP S",113
186,"Carbonized Lead M",112
187,"Nuclear M",112
188,"Proton M",112
189,"Depleted Uranium M",112
190,"Titanium Sabot M",112
191,"Fusion M",112
192,"Phased Plasma M",112
193,"EMP M",112
194,"Carbonized Lead L",109
195,"Nuclear L",109
196,"Proton L",109
197,"Depleted Uranium L",109
198,"Titanium Sabot L",109
199,"Fusion L",109
200,"Phased Plasma L",109
201,"EMP L",109
202,"Mjolnir Cruise Missile",921
203,"Scourge Cruise Missile",921
204,"Inferno Cruise Missile",921
205,"Nova Cruise Missile",921
206,"Nova Heavy Missile",924
207,"Mjolnir Heavy Missile",924
208,"Inferno Heavy Missile",924
209,"Scourge Heavy Missile",924
210,"Scourge Light Missile",920
211,"Inferno Light Missile",920
212,"Mjolnir Light Missile",920
213,"Nova Light Missile",920
215,"Iron Charge S",107
216,"Tungsten Charge S",107
217,"Iridium Charge S",107
218,"Lead Charge S",107
219,"Thorium Charge S",107
220,"Uranium Charge S",107
221,"Plutonium Charge S",107
222,"Antimatter Charge S",107
223,"Iron Charge M",108
224,"Tungsten Charge M",108
225,"Iridium Charge M",108
226,"Lead Charge M",108
227,"Thorium Charge M",108
228,"Uranium Charge M",108
229,"Plutonium Charge M",108
230,"Antimatter Charge M",108
231,"Iron Charge L",106
232,"Tungsten Charge L",106
233,"Iridium Charge L",106
234,"Lead Charge L",106
235,"Thorium Charge L",106
236,"Uranium Charge L",106
237,"Plutonium Charge L",106
238,"Antimatter Charge L",106
239,"Radio S",102
240,"Microwave S",102
241,"Infrared S",102
242,"Standard S",102
243,"Ultraviolet S",102
244,"Xray S",102
245,"Gamma S",102
246,"Multifrequency S",102
247,"Radio M",103
248,"Microwave M",103
249,"Infrared M",103
250,"Standard M",103
251,"Ultraviolet M",103
252,"Xray M",103
253,"Gamma M",103
254,"Multifrequency M",103
255,"Radio L",105
256,"Microwave L",105
257,"Infrared L",105
258,"Standard L",105
259,"Ultraviolet L",105
260,"Xray L",105
261,"Gamma L",105
262,"Multifrequency L",105
263,"Cap Booster 25",139
264,"Cap Booster 50",139
265,"Heavy Defender Missile I",116
266,"Scourge Rocket",922
267,"Scourge Torpedo",923
269,"Mjolnir Auto-Targeting Light Missile I",914
377,"Small Shield Extender I",605
380,"Small Shield Extender II",605
393,"Shield Recharger I",126
394,"Shield Recharger II",126
399,"Small Shield Booster I",609
400,"Small Shield Booster II",609
405,"Micro Shield Transporter I",604
406,"Micro Shield Transporter II",604
421,"Basic Capacitor Recharger",665
434,"1MN Microwarpdrive I",131
438,"1MN Afterburner II",542
439,"1MN Afterburner I",542
440,"1MN Microwarpdrive II",131
442,"Cargo Scanner I",711
443,"Ship Scanner I",713
444,"Survey Scanner I",714
447,"Warp Scrambler I",682
448,"Warp Scrambler II",682
450,"Gatling Pulse Laser I",570
451,"Dual Light Pulse Laser I",570
452,"Dual Light Beam Laser I",567
453,"Small Focused Pulse Laser I",570
454,"Small Focused Beam Laser I",567
455,"Quad Light Beam Laser I",568
456,"Focused Medium Pulse Laser I",572
457,"Focused Medium Beam Laser I",568
458,"Heavy Pulse Laser I",572
459,"Heavy Beam Laser I",568
460,"Dual Heavy Pulse Laser I",573
461,"Dual Heavy Beam Laser I",569
462,"Mega Pulse Laser I",573
463,"Mega Beam Laser I",569
464,"Tachyon Beam Laser I",569
482,"Miner II",1039
483,"Miner I",1039
484,"125mm Gatling AutoCannon I",574
485,"150mm Light AutoCannon I",574
486,"200mm AutoCannon I",574
487,"250mm Light Artillery Cannon I",577
488,"280mm Howitzer Artillery I",577
489,"Dual 180mm AutoCannon I",575
490,"220mm Vulcan AutoCannon I",575
491,"425mm AutoCannon I",575
492,"650mm Artillery Cannon I",578
493,"720mm Howitzer Artillery I",578
494,"Dual 425mm AutoCannon I",576
495,"Dual 650mm Repeating Artillery I",576
496,"800mm Repeating Artillery I",576
497,"1200mm Artillery Cannon I",579
498,"1400mm Howitzer Artillery I",579
499,"Light Missile Launcher I",640
501,"Heavy Missile Launcher I",642
503,"Torpedo Launcher I",644
506,"Basic Capacitor Power Relay",667
508,"Basic Shield Flux Coil",687
509,"Basic Capacitor Flux Coil",666
518,"Basic Gyrostabilizer",646
519,"Gyrostabilizer II",646
520,"Gyrostabilizer I",646
521,"Basic Damage Control",615
522,"Micro Capacitor Battery I",702
523,"Small Armor Repairer I",1049
524,"Small Hull Repairer I",1053
526,"Stasis Webifier I",683
527,"Stasis Webifier II",683
529,"Small Energy Transfer Array I",695
530,"Small Nosferatu I",692
533,"Small Energy Neutralizer I",689
561,"75mm Gatling Rail I",564
562,"Light Electron Blaster I",561
563,"Light Ion Blaster I",561
564,"Light Neutron Blaster I",561
565,"150mm Railgun I",564
566,"Heavy Electron Blaster I",562
567,"Dual 150mm Railgun I",565
568,"Heavy Neutron Blaster I",562
569,"Heavy Ion Blaster I",562
570,"250mm Railgun I",565
